cep,endereco,numero,bairro,cidade,estado,tipo,complemento,pais,valor,area,quartos,suites,salas,garagem,descricao,imagem,piscina,praia,lazer,gourmet,varanda,quadra,elevador,solarium,vendido,comissao,valor_comissao,corretor,data_venda,proprietario,construtora,telefone,festa
58067045,Rua José Fernandes Wanderley,437,Gramame,João Pessoa,PB,Apartamento,,Brasil,465760.2,427,6,0,2,1,Aceita permuta,,False,False,False,True,True,False,True,True,False,0.0,0.0,,,Srta. Luiza da Costa,0,83998418935,False
58083594,Rua Cidade de Mari,437,Indústrias,João Pessoa,PB,Casa,,Brasil,427412.54,262,4,0,1,4,Aceita permuta,,True,True,False,True,False,True,True,False,False,0.0,0.0,,,Sr. Anthony Rodrigues,0,83979339156,True
58080020,Rua Ana Espínola Navarro,866,Ernani Sátiro,João Pessoa,PB,Casa,,Brasil,305165.87,248,10,1,3,1,Aceita carro no negócio,,True,True,True,False,True,False,True,False,True,2.0,6103.3174,Dr. Yago Lima,09/01/2023,João Gabriel Peixoto,0,83973404370,False
58041020,Rua Silvio Almeida,712,Expedicionários,João Pessoa,PB,Apartamento,,Brasil,30433.41,223,3,4,3,5,,,True,False,False,True,True,True,True,True,True,1.0,304.3341,Sra. Camila da Mata,03/06/2023,Marcos Vinicius Campos,0,83975501189,False
58066030,Rua Soldado João Porcino da Costa,174,Muçumagro,João Pessoa,PB,Apartamento,,Brasil,235364.9,90,1,2,3,4,,,True,True,True,False,True,True,False,True,True,6.0,14121.894,Caroline Melo,12/04/2023,Ian Viana,0,83953991562,False
58059340,Rua Agripino Paulino da Costa,951,Mangabeira,João Pessoa,PB,Terreno,,Brasil,451126.38,414,1,1,2,4,,,True,True,True,False,True,False,True,True,False,0.0,0.0,,,Heloísa da Cunha,0,83954489877,True
58081130,Rua Frei Vicente Salvador,665,Costa e Silva,João Pessoa,PB,Flat,,Brasil,417465.23,302,8,4,3,4,,,True,False,False,True,True,False,False,False,True,9.0,37571.8707,Srta. Luiza da Costa,26/03/2023,Dr. Vitor Gabriel Jesus,0,83916446375,True
58085504,Rua Manoel Guedes da Silva,158,Cruz das Armas,João Pessoa,PB,Apartamento,,Brasil,427274.37,493,6,2,2,3,,,True,True,False,True,False,True,True,True,True,3.0,12818.2311,Alana Nascimento,09/11/2022,Sr. João Miguel Viana,0,83934142882,False
58051330,Rua Bancário Benjamin A. Maia,934,Bancários,João Pessoa,PB,Casa,,Brasil,211815.65,485,9,5,3,3,Aceita carro no negócio,,False,True,True,False,True,False,True,True,True,9.0,19063.4085,Ian Lima,26/05/2023,Evelyn Vieira,0,8396250573,True
58076043,Rua Mirtes Toscano Alves,738,João Paulo II,João Pessoa,PB,Apartamento,,Brasil,158125.91,364,7,5,2,5,Aceita permuta,,False,True,True,True,False,False,False,True,True,7.0,11068.8137,Davi Silveira,07/04/2023,Dra. Eduarda da Paz,0,8391388364,True
58020810,Rua Filipéia,511,Tambiá,João Pessoa,PB,Flat,,Brasil,433937.64,329,2,3,3,3,,,True,True,False,False,False,True,True,True,True,7.0,30375.6348,Srta. Camila Cunha,13/05/2023,Sr. Pietro Ramos,0,83936274987,True
58076015,Rua Carreteiro João Simeão Sobrinho,281,João Paulo II,João Pessoa,PB,Apartamento,,Brasil,416916.82,161,1,0,1,1,Aceita carro no negócio,,False,False,True,True,False,False,True,False,True,7.0,29184.1774,Raul Nogueira,26/05/2023,Fernando da Rosa,0,83993553222,False
58071635,Conjunto Boa Esperança,823,Cristo Redentor,João Pessoa,PB,Casa,,Brasil,312619.79,420,5,1,3,5,Aceita permuta,,False,False,False,False,True,False,False,True,False,0.0,0.0,,,Arthur Gonçalves,0,83958709666,False
58036447,Rua Alzira de Souza Manzela,357,Aeroclube,João Pessoa,PB,Casa,,Brasil,237318.34,424,5,0,3,1,Aceita permuta,,True,True,False,False,True,False,False,False,False,0.0,0.0,,,João Guilherme Jesus,0,83938899033,True
58077017,Rua Praia de Ponta Negra,634,Cuiá,João Pessoa,PB,Casa,,Brasil,99029.44,282,2,2,3,5,,,True,True,True,True,False,True,True,False,False,0.0,0.0,,,Caio Silveira,0,8395491521,True
58055170,Rua Francisco Trajano de Oliveira,800,Mangabeira,João Pessoa,PB,Flat,,Brasil,325836.1,219,6,1,2,1,,,False,False,False,False,True,False,False,True,True,5.0,16291.805,Caio Barbosa,02/06/2023,João Pedro Pereira,0,83996583310,True
58057452,Rua Severino Menezes Lira,652,Mangabeira,João Pessoa,PB,Flat,,Brasil,474778.91,461,7,5,2,4,,,False,True,True,False,True,False,True,False,True,3.0,14243.3673,Luiz Fernando Porto,30/01/2023,Davi Luiz Carvalho,0,83979911772,True
58068245,Rua Monsenhor Eusébio Oliveira,948,Gramame,João Pessoa,PB,Apartamento,,Brasil,311483.79,126,9,1,1,5,,,False,True,False,False,True,False,True,False,False,0.0,0.0,,,Ana Laura Ramos,0,83921583474,True
58058540,Rua Funcionário Carlos Alberto dos Santos,850,Mangabeira,João Pessoa,PB,Apartamento,,Brasil,95604.68,438,5,2,1,1,Aceita permuta,,False,False,True,False,False,False,False,False,False,0.0,0.0,,,Gabriela Moreira,0,83968146440,True
58011270,Distrito Mecânico,574,Varadouro,João Pessoa,PB,Casa,,Brasil,344352.02,107,10,0,2,2,,,True,False,True,False,False,True,False,True,True,3.0,10330.5606,Sra. Sofia Costa,19/03/2023,Maria Alice Castro,0,83910371548,False
58065195,Rua Alvorada,797,Planalto Boa Esperança,João Pessoa,PB,Apartamento,,Brasil,382450.2,460,3,4,1,5,Aceita permuta,,True,True,False,False,True,False,False,True,False,0.0,0.0,,,Paulo Correia,0,83979267654,True
58020544,Praça da Independência,648,Tambiá,João Pessoa,PB,Apartamento,,Brasil,488754.42,487,7,2,2,2,Aceita permuta,,False,True,False,False,False,False,True,False,True,2.0,9775.0884,Enrico Freitas,09/07/2022,Raul Dias,0,83971414882,False
58038200,Rua Waldir Belo Rabelo Pessoa da Costa,431,Manaíra,João Pessoa,PB,Casa,,Brasil,363655.91,333,6,4,1,3,,,True,False,True,False,False,True,True,True,True,2.0,7273.1182,Sofia da Luz,10/06/2022,Alícia Jesus,0,83981780551,False
58067013,Rua Maria José Alves,764,Gramame,João Pessoa,PB,Casa,,Brasil,235589.62,139,9,5,1,5,,,False,True,True,False,False,False,True,True,True,4.0,9423.5848,Dr. Diego Melo,07/06/2023,Carlos Eduardo Costa,0,83937177605,False
58077128,Rua Olívio de Moraes Magalhães,781,Cuiá,João Pessoa,PB,Terreno,,Brasil,195004.23,200,7,5,1,2,Aceita carro no negócio,,True,True,True,True,True,False,False,False,False,0.0,0.0,,,Pietra Rocha,0,83974874582,False
58011490,Rua Senhor do Bonfim,228,Ilha do Bispo,João Pessoa,PB,Flat,,Brasil,210516.86,164,1,0,1,4,Aceita permuta,,False,True,True,False,True,True,False,True,False,0.0,0.0,,,Isadora Barros,0,83910491440,False
58015525,Vila Maria Leonardo,206,Jaguaribe,João Pessoa,PB,Apartamento,,Brasil,150645.74,249,8,5,1,4,,,False,True,True,True,True,True,False,False,True,9.0,13558.1166,Kamilly da Luz,23/12/2022,Dra. Mirella Vieira,0,83963826623,True
58027773,Rua Arcôncio Pereira da Silva,970,Alto do Céu,João Pessoa,PB,Flat,,Brasil,411642.64,253,3,2,1,3,Aceita carro no negócio,,True,False,True,True,False,True,False,False,True,8.0,32931.4112,Benjamin Monteiro,22/02/2023,João Felipe Martins,0,83996912481,False
58027412,Vila São Severino,109,Mandacaru,João Pessoa,PB,Terreno,,Brasil,134209.19,489,6,4,3,3,Aceita permuta,,False,False,False,True,True,True,True,False,True,1.0,1342.0919,João Lucas da Conceição,18/05/2023,Ana Lívia Cavalcanti,0,83982671336,False
58082072,Rua Diogo Braz de Araújo,922,Distrito Industrial,João Pessoa,PB,Terreno,,Brasil,289094.83,271,7,4,3,2,Aceita carro no negócio,,True,True,True,True,False,False,True,False,False,0.0,0.0,,,Mirella Pires,0,8399293508,False
58075300,Rua Doutor Ranulfo Cunha,649,Ernesto Geisel,João Pessoa,PB,Apartamento,,Brasil,126125.82,484,1,0,2,4,,,True,True,False,True,True,False,False,False,False,0.0,0.0,,,Matheus Ribeiro,0,83997283993,False
58065216,Rua Rita Porfírio Chaves,588,Planalto Boa Esperança,João Pessoa,PB,Apartamento,,Brasil,144350.23,112,6,2,3,1,,,False,False,True,True,True,True,False,True,False,0.0,0.0,,,Daniel Viana,0,83938242078,False
58037743,Rua Professora Josefa Pereira Carvalho,578,Jardim Oceania,João Pessoa,PB,Apartamento,,Brasil,442539.53,411,4,0,3,3,Aceita carro no negócio,,True,False,False,True,False,False,False,True,True,7.0,30977.7671,Dr. Miguel da Costa,12/03/2023,Rodrigo da Luz,0,83922577825,False
58090564,Rua Carteiro João Rodrigues de Sousa,941,Alto do Mateus,João Pessoa,PB,Terreno,,Brasil,296118.85,191,6,0,2,2,,,False,True,True,False,True,False,False,True,False,0.0,0.0,,,Vitória Araújo,0,83928470269,False
58074070,Rua Funcionária Pública Geni Ferreira da Silva,847,José Américo de Almeida,João Pessoa,PB,Casa,,Brasil,135129.2,263,10,3,2,5,Aceita carro no negócio,,True,True,False,False,False,False,True,True,True,2.0,2702.584,Benjamin Farias,05/02/2023,João Guilherme Cardoso,0,83910015247,False
58070150,Rua Alípio da Cunha Machado,462,Varjão,João Pessoa,PB,Casa,,Brasil,136928.4,371,4,3,3,4,,,True,True,True,False,True,True,True,False,True,1.0,1369.284,Rodrigo Souza,04/02/2023,Thomas Araújo,0,83978824229,True
58074104,Rua Paulo Gomes de Almeida,830,José Américo de Almeida,João Pessoa,PB,Apartamento,,Brasil,409763.07,349,6,2,3,5,Aceita carro no negócio,,True,False,True,True,False,False,True,True,True,10.0,40976.307,Murilo Barros,25/08/2022,Isabel Carvalho,0,83913779211,True
58066099,Rua Francisco de Melo,282,Muçumagro,João Pessoa,PB,Casa,,Brasil,159580.81,267,9,3,2,4,Aceita carro no negócio,,True,True,False,True,True,False,False,False,True,7.0,11170.6567,Rafaela Cardoso,28/05/2023,Dra. Gabriela Nunes,0,83911244092,False
58069480,Rua Aposentada Alair Cavalcanti da Silveira,958,Gramame,João Pessoa,PB,Casa,,Brasil,420003.47,403,2,5,3,2,Aceita permuta,,True,False,True,False,False,False,False,False,False,0.0,0.0,,,Evelyn Cardoso,0,83971607827,True
58079749,Rua Sebastiana Pereira Gomes,138,Funcionários,João Pessoa,PB,Terreno,,Brasil,372543.66,161,5,5,2,4,Aceita permuta,,True,False,False,False,False,False,True,True,False,0.0,0.0,,,Isabelly Cavalcanti,0,83958038779,True
58090310,Rua Manoel Ribeiro de Lima,681,Alto do Mateus,João Pessoa,PB,Casa,,Brasil,19845.28,304,1,4,1,3,Aceita permuta,,True,True,False,True,False,False,True,False,True,10.0,1984.528,Caroline Viana,19/10/2022,João Lucas Lopes,0,83951208142,False
58027733,Rua General Antero de Brito,842,Alto do Céu,João Pessoa,PB,Casa,,Brasil,306648.19,118,5,5,2,3,Aceita carro no negócio,,True,True,False,False,True,True,False,False,True,7.0,21465.3733,Maysa Correia,03/06/2023,Alana Freitas,0,83985064947,False
58060173,Rua Ercília Lins Pessoa,107,Barra de Gramame,João Pessoa,PB,Apartamento,,Brasil,415108.96,405,4,0,2,4,,,False,False,False,False,True,False,False,False,False,0.0,0.0,,,Helena Correia,0,83934204896,False
58066037,Rua Odilon Valdivio Lobo Maia,971,Muçumagro,João Pessoa,PB,Apartamento,,Brasil,11914.81,461,1,2,3,1,Aceita permuta,,True,True,True,True,True,True,False,True,False,0.0,0.0,,,Sr. João Pedro da Mata,0,83929927026,False
58030001,Avenida Presidente Epitácio Pessoa,111,Estados,João Pessoa,PB,Terreno,,Brasil,9123.21,445,7,3,1,4,,,False,True,False,False,False,False,True,True,False,0.0,0.0,,,Ana Júlia da Luz,0,83987217859,True
58068370,Rua Ricardo Soares de Souza Neto,712,Gramame,João Pessoa,PB,Flat,,Brasil,69339.06,154,7,4,3,3,Aceita permuta,,True,True,True,False,True,True,True,True,True,3.0,2080.1718,Sabrina Nunes,14/04/2023,Rafael Rodrigues,0,83933150112,True
58090464,Rua Rita Maria da Conceição,401,Alto do Mateus,João Pessoa,PB,Apartamento,,Brasil,333512.83,309,2,5,3,3,Aceita carro no negócio,,False,True,False,True,True,False,False,False,True,2.0,6670.2566,Fernanda Mendes,14/05/2023,Natália Ramos,0,83942533472,False
58040800,Conjunto Padre Hildon Bandeira,619,Torre,João Pessoa,PB,Flat,,Brasil,240118.92,228,6,5,2,1,Aceita permuta,,True,False,True,True,True,True,True,False,False,0.0,0.0,,,Erick Dias,0,83983591609,False
58083592,Rua Cidade de Boa Ventura,168,Indústrias,João Pessoa,PB,Casa,,Brasil,398886.28,318,4,1,3,2,Aceita permuta,,True,True,True,False,True,False,False,True,False,0.0,0.0,,,Lara Azevedo,0,83969141273,True
58062345,Rua João Oliota Neto,130,Paratibe,João Pessoa,PB,Apartamento,,Brasil,100091.75,395,8,4,3,1,Aceita carro no negócio,,False,True,False,False,False,True,False,True,True,8.0,8007.34,Luana Moreira,18/05/2023,Pedro Lucas Cardoso,0,83937345207,True
58067330,Rua Mário Duarte da Costa,364,Gramame,João Pessoa,PB,Casa,,Brasil,422945.51,230,6,0,1,1,,,False,False,False,False,False,False,False,False,True,4.0,16917.8204,Laís Cardoso,26/09/2022,Cecília Souza,0,83943497441,False
58083092,Rua das Perólas,367,Indústrias,João Pessoa,PB,Casa,,Brasil,412032.74,424,3,5,2,2,Aceita carro no negócio,,False,False,False,False,True,False,False,False,True,3.0,12360.9822,Dr. Juan Rezende,21/09/2022,Pietra Pereira,0,83936935614,True
58090563,Rua José Clementino,658,Alto do Mateus,João Pessoa,PB,Casa,,Brasil,153429.37,92,6,3,3,1,Aceita carro no negócio,,True,False,True,True,True,False,True,False,False,0.0,0.0,,,Dr. Samuel Costa,0,83910254646,False
58032085,Rua Durval Ribeiro de Lima,778,Miramar,João Pessoa,PB,Casa,,Brasil,454467.15,198,10,3,1,3,,,True,False,False,True,True,True,True,True,True,8.0,36357.372,Sabrina Rezende,26/02/2023,Alana Correia,0,83967327643,False
58069525,Rua Pico do Jabre,692,Gramame,João Pessoa,PB,Terreno,,Brasil,76660.1,428,3,4,3,3,,,True,True,True,True,True,False,False,True,True,6.0,4599.606,Dra. Alana Duarte,03/04/2023,Davi da Conceição,0,83964912112,True
58033454,Rua Empresário Clóvis Rolim,417,Brisamar,João Pessoa,PB,Flat,,Brasil,87965.46,118,1,3,3,3,Aceita permuta,,True,True,False,False,False,False,False,True,False,0.0,0.0,,,Sophia Costa,0,83917807638,True
58056250,Rua Francisco de Assis Marinho,740,Mangabeira,João Pessoa,PB,Terreno,,Brasil,26077.9,359,3,3,2,1,,,False,True,False,True,False,False,True,True,False,0.0,0.0,,,Arthur Farias,0,83973124767,False
58056610,Rua Maria dos Anjos de Lima Feitosa,278,Mangabeira,João Pessoa,PB,Apartamento,,Brasil,188887.64,249,2,0,2,1,,,False,False,False,True,True,True,True,True,True,2.0,3777.7528,Dr. Renan Mendes,15/05/2023,Sra. Maria Sophia Almeida,0,8393872350,True
58074722,Rua Marcelo Tavares da Silva,596,José Américo de Almeida,João Pessoa,PB,Apartamento,,Brasil,374690.41,500,5,5,2,2,Aceita carro no negócio,,False,False,True,False,False,False,False,True,False,0.0,0.0,,,Murilo Fernandes,0,83969542408,False
58035150,Rua Renato de Souza Maciel,816,Bessa,João Pessoa,PB,Flat,,Brasil,210311.52,466,10,0,2,3,Aceita permuta,,False,True,False,False,True,True,False,False,True,3.0,6309.3456,Thiago Caldeira,19/05/2023,Luiz Miguel da Cruz,0,83913609028,False
58020055,Vila Lourival Vicente de Freitas,948,Roger,João Pessoa,PB,Apartamento,,Brasil,108786.04,230,10,1,1,4,Aceita carro no negócio,,False,False,False,True,True,False,True,False,False,0.0,0.0,,,Leandro Lopes,0,83911458318,False
58046131,Rua Joice Kelly de Azevedo,263,Altiplano Cabo Branco,João Pessoa,PB,Apartamento,,Brasil,350352.59,185,9,5,3,2,Aceita carro no negócio,,False,True,False,True,False,True,False,False,True,8.0,28028.2072,Ian Duarte,12/04/2023,João Felipe Rodrigues,0,8391683518,True
58051320,Rua Bancário Wagner Alexandrino Bezerra Japyassu,419,Bancários,João Pessoa,PB,Terreno,,Brasil,307255.23,299,4,5,1,4,,,True,False,True,False,True,False,True,False,False,0.0,0.0,,,Isabelly Gonçalves,0,83998198345,True
58038182,Avenida Umbuzeiro,508,Manaíra,João Pessoa,PB,Flat,,Brasil,431297.03,299,7,5,2,2,Aceita permuta,,True,True,False,True,False,False,True,False,True,4.0,17251.8812,Alexia Souza,02/06/2023,Heloísa Teixeira,0,83981612173,False
58071730,Rua Carlos Dias Fernandes,489,Cristo Redentor,João Pessoa,PB,Casa,,Brasil,214367.35,206,2,2,3,1,Aceita permuta,,True,True,False,True,False,True,False,True,False,0.0,0.0,,,Luigi Lopes,0,83945017789,True
58057130,Rua Juiz Acrísio Neves,645,Mangabeira,João Pessoa,PB,Flat,,Brasil,345865.28,211,4,4,2,3,,,False,False,False,True,True,False,False,False,False,0.0,0.0,,,Benjamin da Rosa,0,83910108500,True
58076015,Rua Carreteiro João Simeão Sobrinho,462,João Paulo II,João Pessoa,PB,Terreno,,Brasil,462192.31,424,1,4,2,3,Aceita permuta,,True,False,False,True,True,True,True,False,True,5.0,23109.6155,Maysa Jesus,19/10/2022,Cauê Farias,0,83955276784,False
58063440,Rua Francisco Barbosa Sobrinho,674,Valentina de Figueiredo,João Pessoa,PB,Terreno,,Brasil,283933.11,439,4,0,2,1,Aceita carro no negócio,,False,False,True,True,True,False,False,True,False,0.0,0.0,,,Maria Clara da Mata,0,83927279318,False
58011003,Travessa das Trincheiras,560,Trincheiras,João Pessoa,PB,Flat,,Brasil,192041.33,172,4,1,2,5,Aceita permuta,,False,True,False,False,True,False,False,False,False,0.0,0.0,,,Maria Julia Melo,0,83924895298,True
58065048,Avenida Cuiabá,330,Planalto Boa Esperança,João Pessoa,PB,Casa,,Brasil,95618.3,209,9,2,1,1,,,True,True,True,True,False,True,False,False,False,0.0,0.0,,,Júlia Carvalho,0,83981848303,False
58027500,Rua Conde Bagnoli,764,Mandacaru,João Pessoa,PB,Apartamento,,Brasil,252622.79,267,4,0,3,2,,,False,True,True,True,False,True,False,False,False,0.0,0.0,,,Sra. Lavínia Novaes,0,83977782355,False
58075530,Rua Coronel Edward Prado,223,Ernesto Geisel,João Pessoa,PB,Apartamento,,Brasil,288693.57,499,4,1,2,3,Aceita carro no negócio,,True,False,False,True,False,True,False,True,False,0.0,0.0,,,Luigi Martins,0,83934485179,True
58071975,"Rodovia BR-230 km 24,5 Bloco 2",176,Cristo Redentor,João Pessoa,PB,Casa,,Brasil,108333.45,236,1,5,2,5,Aceita carro no negócio,,True,True,False,True,False,True,False,True,True,7.0,7583.3415,Laís Pinto,01/06/2023,Dr. João Guilherme Lima,0,83952956902,True
58062052,Rua Jequitibá Rosa,928,Paratibe,João Pessoa,PB,Flat,,Brasil,353554.54,158,10,0,3,3,Aceita permuta,,True,True,False,True,False,False,False,True,False,0.0,0.0,,,Sra. Laura Duarte,0,83951073533,True
58033901,Rua Cassimiro de Abreu 250,714,Brisamar,João Pessoa,PB,Casa,,Brasil,47655.49,212,9,4,3,5,,,True,False,False,True,True,False,True,True,False,0.0,0.0,,,Lucas Gabriel Novaes,0,83970835589,True
58020683,Vila Nossa Senhora do Perpétuo Socorro,553,Tambiá,João Pessoa,PB,Casa,,Brasil,262128.31,146,10,2,2,3,Aceita permuta,,False,False,False,False,True,False,False,False,True,3.0,7863.8493,Dra. Esther Viana,16/05/2023,Maria Alice Alves,0,83936683769,False
58011205,Vila São José,261,Trincheiras,João Pessoa,PB,Terreno,,Brasil,226818.57,348,9,4,1,3,Aceita permuta,,False,False,False,True,False,False,True,True,True,7.0,15877.2999,Breno Aragão,09/03/2023,Marcelo Moraes,0,83980767118,True
58071977,Rua Presidente Ranieri Mazilli 1807,195,Cristo Redentor,João Pessoa,PB,Apartamento,,Brasil,44575.75,292,6,1,3,5,Aceita carro no negócio,,True,False,False,True,True,True,False,False,False,0.0,0.0,,,Emanuella da Rocha,0,83978859997,False
58070040,Rua Doutor José de Melo Lula,302,Varjão,João Pessoa,PB,Casa,,Brasil,245503.54,296,1,4,2,5,,,True,False,True,False,False,True,True,True,False,0.0,0.0,,,Sra. Maria Vitória Castro,0,83929865834,True
58055390,Rua Joana da Conceição,906,Mangabeira,João Pessoa,PB,Apartamento,,Brasil,271304.24,437,10,5,3,2,,,False,True,True,True,True,True,True,False,True,8.0,21704.3392,Joana Ramos,29/03/2023,Luna da Cruz,0,83954119608,True
58028370,Rua Joaquim Antônio Marques,688,Ipês,João Pessoa,PB,Apartamento,,Brasil,68693.06,215,2,3,2,5,Aceita carro no negócio,,True,True,False,True,True,False,True,True,True,5.0,3434.653,Gustavo Henrique Almeida,18/04/2023,Breno Castro,0,83915690712,True
58090800,Rua Luiz Jacinto,215,Alto do Mateus,João Pessoa,PB,Flat,,Brasil,498332.98,494,1,2,3,1,Aceita carro no negócio,,False,False,True,True,False,False,True,False,False,0.0,0.0,,,Dra. Amanda da Rocha,0,8398572583,False
58059835,Rua Praia de Ilha da Restinga,340,Mangabeira,João Pessoa,PB,Flat,,Brasil,129792.59,388,10,2,3,1,Aceita permuta,,True,True,True,False,True,False,True,True,False,0.0,0.0,,,Luigi Araújo,0,83917940673,True
